TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VITL;11,87;;30,07;2,81;2,09;33,50;5,57;3,84;14,73;17,12;-3,60;-0,49;1,15;4,11;-7,66;3,32;9,33;6,95;9,13;0,74;0,26;1,81;;;;4,23;0,39;;493.819.301,00
VIV;10,29;4,87;20,67;1,23;0,70;62,39;13,82;9,15;;15,09;1,41;0,13;1,89;-10,77;-0,82;0,70;5,96;3,38;6,64;0,57;0,43;0,37;7,49;-14,65;;8,35;0,50;;17.045.965.356,00
VIVE;0,22;;-0,10;1,99;0,19;16,39;-311,05;-336,79;-0,12;-0,10;0,01;-0,24;0,35;-1,91;-0,93;0,89;-1.941,64;-189,15;-311,69;0,10;0,90;0,56;-2,09;;;0,11;-2,14;;2.359.258,00
VIVO;33,97;;35,07;4,05;3,21;56,56;16,67;12,75;20,67;25,81;-1,02;-0,15;4,47;9,75;-5,90;3,63;11,54;9,17;11,10;0,79;0,21;0,72;10,65;14,52;;8,40;0,97;;1.488.830.366,00
VJET;1,30;;-5,35;0,40;0,17;33,91;-19,09;-7,20;;-0,84;1,18;-0,23;0,38;0,73;-0,45;1,63;-7,40;-3,23;-13,97;0,44;0,56;0,45;1,31;;;3,29;-0,24;;11.875.110,00
VKQ;8,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VKTX;9,86;;-12,20;2,68;2,58;;;;-11,46;-7,55;4,65;-1,02;;2,68;-723,61;28,44;-21,96;-21,13;-21,96;0,96;0,04;0,00;;;;3,68;-0,81;;986.285.940,00
VKTXW;4,60;;-5,69;1,25;1,20;;;;-5,35;-7,55;4,65;-1,02;;1,25;-337,59;28,44;-21,96;-21,13;-21,96;0,96;0,04;0,00;;;;3,68;-0,81;;986.285.940,00
VLDR;1,26;;-1,74;1,39;1,05;-54,75;-383,57;-384,34;-1,84;-0,46;1,28;-1,02;6,67;1,49;-7,48;5,51;-80,01;-60,32;-80,01;0,75;0,25;0,16;;;;0,91;-0,73;;299.363.904,00
VLDRW;0,32;;-0,44;0,35;0,27;-54,75;-383,57;-384,34;-0,47;-0,46;1,28;-1,02;1,69;0,38;-1,90;5,51;-80,01;-60,32;-80,01;0,75;0,25;0,16;;;;0,91;-0,73;;299.363.904,00
VLGEA;24,18;4,14;7,22;0,88;0,37;28,45;3,55;2,29;3,19;4,18;-0,49;-0,09;0,17;5,30;-0,50;1,38;12,12;5,14;10,51;0,42;0,58;2,24;6,05;14,67;;27,61;3,35;;359.191.482,00
VLO;124,34;3,25;3,94;1,63;0,67;10,41;9,96;7,11;2,39;3,19;0,37;0,22;0,28;4,71;-1,16;1,51;41,37;17,01;31,38;0,41;0,59;2,39;13,42;23,18;;76,30;31,56;;42.331.913.586,00
VLRS;5,99;;-12,32;3,29;0,16;60,84;2,23;-2,60;;0,38;-14,00;-3,20;0,32;-2,29;-0,21;0,79;-26,67;-1,27;4,95;0,05;0,95;0,49;17,58;;;1,82;-0,49;;690.098.915,00
VLT;9,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VLY;7,85;5,61;6,36;0,61;0,06;0,00;36,25;21,50;3,39;-1,84;-5,62;-0,90;1,37;;-0,06;;9,53;1,02;10,59;0,11;0,89;0,05;18,21;28,57;;12,95;1,23;;3.985.136.495,00
VLYPO;21,69;9,77;17,57;1,67;0,18;0,00;36,25;21,50;9,37;-1,84;-5,62;-0,90;3,78;;-0,18;;9,53;1,02;10,59;0,11;0,89;0,05;18,21;28,57;;12,95;1,23;;3.985.136.495,00
VLYPP;17,84;8,76;14,45;1,38;0,15;0,00;36,25;21,50;7,71;-1,84;-5,62;-0,90;3,11;;-0,15;;9,53;1,02;10,59;0,11;0,89;0,05;18,21;28,57;;12,95;1,23;;3.985.136.495,00
VMAC;9,83;;-19,97;-15,39;1,25;;;;-19,97;-21,41;-1,45;;;-114,97;-1,25;0,03;-77,06;-6,25;-647,13;-0,08;0,09;0,00;;;;-0,64;-0,49;;126.118.900,00
VMACU;13,00;;-26,41;-20,35;1,65;;;;-26,41;-21,41;-1,45;;;-152,04;-1,65;0,03;-77,06;-6,25;-647,13;-0,08;0,09;0,00;;;;-0,64;-0,49;;126.118.900,00
VMACW;0,38;;-0,77;-0,59;0,05;;;;-0,77;-21,41;-1,45;;;-4,44;-0,05;0,03;-77,06;-6,25;-647,13;-0,08;0,09;0,00;;;;-0,64;-0,49;;126.118.900,00
VMAR;2,02;;-1,97;1,05;0,87;43,35;-272,70;-304,81;;-1,77;0,43;-0,21;6,00;2,27;-1,67;4,81;-53,08;-43,98;-44,01;0,83;0,17;0,14;;;;1,93;-1,03;;22.579.964,00
VMC;210,27;1,21;33,86;3,76;1,91;23,78;16,29;10,75;14,96;25,15;2,82;0,47;3,64;15,21;-2,34;3,13;11,09;5,64;9,09;0,51;0,49;0,53;13,46;-0,87;;56,00;6,21;;27.939.289.818,00
VMD;7,01;;29,31;2,48;1,81;61,00;7,71;5,42;8,08;20,63;0,03;0,00;1,59;62,63;-2,38;1,14;8,46;6,16;7,88;0,73;0,27;1,14;24,23;-5,32;;2,83;0,24;;269.807.890,00
VMEO;3,53;;-27,58;1,67;0,99;76,98;-4,24;-5,10;-49,75;-17,48;15,67;-0,79;1,41;6,26;-2,15;1,41;-6,05;-3,58;-5,70;0,59;0,41;0,70;;;;2,11;-0,13;;589.024.978,00
VMI;202,60;1,16;16,87;2,68;1,19;25,92;9,47;5,77;8,32;11,97;1,68;0,44;0,97;4,33;-2,38;2,21;15,87;7,05;12,31;0,44;0,56;1,22;9,61;16,63;;75,67;12,01;;4.232.435.560,00
VMO;8,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VMW;149,00;;45,76;79,82;2,29;81,54;15,86;10,68;19,62;34,03;3,22;8,33;4,89;-20,85;-3,09;0,70;174,44;5,00;14,85;0,03;0,97;0,47;12,69;8,28;;1,87;3,26;;64.336.635.500,00
VNCE;1,16;;1,12;0,29;0,06;39,55;14,95;4,00;0,25;1,67;1,37;1,32;0,04;0,30;-0,10;1,70;25,83;4,93;32,06;0,19;0,81;1,23;5,57;;;4,01;1,04;;14.490.836,00
VNDA;3,44;;13,27;0,37;0,31;91,26;9,73;6,25;10,63;-12,57;-21,10;-0,91;0,83;0,44;-1,83;6,10;2,76;2,32;2,76;0,84;0,16;0,37;9,03;;;9,39;0,26;;197.829.928,00
VNE;36,95;;-10,75;4,85;2,37;16,48;-21,00;-23,23;-17,69;-11,31;0,58;-0,24;2,50;11,01;-5,12;1,67;-45,13;-22,00;-33,86;0,49;0,51;0,95;;;;7,61;-3,44;;4.139.109.440,00
VNET;3,67;;-25,69;0,49;0,14;22,02;-0,32;-2,03;;-446,39;-285,24;0,87;0,52;1,70;-0,20;1,41;-1,92;-0,56;-0,87;0,29;0,71;0,27;14,30;;;7,46;-0,14;;544.819.941,00
VNOM;31,45;5,31;16,54;;0,92;93,12;71,77;21,93;4,10;6,24;1,19;;3,63;35,25;-0,96;3,77;;5,58;78,79;0,00;0,78;0,25;38,17;6,35;;0,00;1,90;;2.739.147.185,00
VNT;32,66;0,31;16,92;7,24;1,20;45,18;15,53;9,31;8,04;14,54;4,40;3,14;1,57;11,72;-1,72;1,51;42,77;7,08;12,38;0,17;0,83;0,76;;;;4,51;1,93;;5.040.342.682,00
VNTR;0,26;;0,49;0,05;0,01;9,28;-0,17;2,38;;-216,78;-209,75;1,45;0,01;0,04;-0,02;2,20;9,88;2,39;-2,03;0,24;0,76;1,00;-0,33;;;5,34;0,53;;28.103.530,00
VOC;8,06;11,10;6,69;9,61;9,61;;;;6,69;6,62;-0,07;-0,10;;100,16;-10,64;;143,74;143,74;143,74;1,00;0,00;0,00;;20,83;;0,84;1,21;;137.020.000,00
VOD;9,56;;;;;;;;;;;0,75;;;;0,85;0,00;0,00;;0,37;0,63;0,00;-4,28;32,87;;24,46;0,00;;25.885.725.764,00
VOXX;9,42;;-6,34;0,68;0,43;25,34;-5,68;-6,66;-13,79;-10,30;-2,86;0,26;0,42;1,86;-0,94;1,76;-10,66;-6,82;-7,51;0,64;0,36;1,02;1,04;;;13,94;-1,49;;213.316.842,00
VOYA;68,83;1,51;12,42;1,95;0,05;73,72;11,99;8,78;9,09;10,64;1,55;0,33;1,09;;-0,05;;15,66;0,37;10,47;0,02;0,97;0,04;-3,91;;;35,39;5,54;;7.190.532.440,00
VPG;28,57;;12,18;1,27;0,82;40,59;10,64;8,80;;9,36;-0,72;-0,09;1,07;2,07;-1,73;3,91;10,41;6,69;8,32;0,64;0,36;0,76;7,35;20,25;;22,53;2,35;;388.669.137,00
VPV;9,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VRA;7,13;;-11,93;0,86;0,56;50,58;-7,56;-3,73;-53,19;-4,59;1,30;-0,19;0,45;1,37;-1,35;3,35;-7,18;-4,70;-16,99;0,66;0,34;1,26;1,92;;;8,32;-0,60;;219.767.990,00
VRAY;0,02;;-0,03;0,07;0,02;8,05;-98,05;-104,30;-0,04;0,00;0,03;-0,06;0,03;0,14;-0,09;1,16;-199,82;-47,36;-78,03;0,24;0,76;0,45;24,59;;;0,30;-0,60;;3.668.040,00
VRCA;3,06;;-5,49;2,32;2,07;94,98;-271,32;-272,23;-5,71;-3,15;2,36;-1,00;14,96;2,52;-23,73;9,91;-42,29;-37,66;-42,15;0,89;0,11;0,14;;;;1,32;-0,56;;128.717.676,00
VREX;18,79;;25,82;1,43;0,63;31,96;8,46;3,28;6,71;14,28;4,27;0,61;0,85;1,58;-1,32;4,03;5,53;2,43;6,30;0,44;0,56;0,74;4,25;-10,10;;13,16;0,73;;759.116.000,00
VRM;0,73;;-0,61;0,30;0,06;18,70;-12,68;-17,27;-1,06;-4,23;-3,40;1,24;0,11;0,46;-0,15;1,33;-49,59;-10,54;-11,98;0,21;0,79;0,61;;;;2,42;-1,20;;102.019.617,00
VRME;1,08;;-3,67;0,87;0,58;31,85;-10,98;-11,23;-6,01;-3,66;0,09;-0,02;0,41;7,90;-0,80;1,36;-23,56;-15,80;-19,24;0,67;0,33;1,41;;;;1,25;-0,29;;10.691.784,00
VRMEW;0,02;;-0,07;0,02;0,01;31,85;-10,98;-11,23;-0,11;-3,66;0,09;-0,02;0,01;0,15;-0,01;1,36;-23,56;-15,80;-19,24;0,67;0,33;1,41;;;;1,25;-0,29;;10.691.784,00
VRNA;14,21;;-21,99;4,16;3,74;24,45;-10.850,22;-11.276,86;-23,23;-17,81;5,05;-0,92;2.480,23;4,10;-70,56;26,29;-18,91;-16,99;-17,16;0,90;0,10;0,00;;;;3,42;-0,65;;1.135.947.400,00
VRNS;35,84;;-35,25;8,78;3,83;85,76;-19,04;-22,71;-63,16;-39,92;2,14;-0,45;8,01;9,31;-11,67;2,57;-24,92;-10,85;-15,95;0,44;0,56;0,48;17,07;;;4,08;-1,02;;3.904.879.104,00
VRNT;21,36;;150,55;1,67;0,63;68,42;7,08;1,03;9,93;24,67;2,82;0,22;1,55;11,11;-0,82;1,31;1,11;0,42;2,03;0,38;0,42;0,41;-4,49;;;12,81;0,14;;1.372.830.696,00
VRRM;20,52;;45,52;7,48;1,83;94,19;25,39;9,80;10,52;22,25;4,67;1,99;4,46;9,62;-2,55;3,00;16,44;4,01;10,13;0,24;0,76;0,41;26,15;36,55;;2,74;0,45;;3.481.644.816,00
VRS;26,99;;-262,29;1,13;0,75;16,90;-0,31;-0,23;5,21;-154,72;42,00;-0,24;0,62;3,19;-1,23;2,47;-0,43;-0,28;-1,00;0,66;0,34;1,21;-13,51;;;23,98;-0,10;;786.882.654,00
VRSK;238,39;0,56;68,89;89,89;7,92;67,53;43,74;19,04;24,39;32,12;2,13;6,37;13,12;239,86;-10,06;1,18;130,48;11,50;28,62;0,09;0,91;0,60;3,08;11,44;;2,65;3,46;;34.563.355.574,00
VRSN;208,97;;29,13;-13,06;12,58;86,55;69,67;49,42;19,79;21,48;0,82;;14,40;-128,07;-30,97;0,86;-44,84;43,19;517,09;-0,96;1,96;0,87;4,11;8,06;;-16,00;7,17;;21.335.837.000,00
VRT;42,07;0,02;63,13;9,36;2,16;33,50;9,21;3,82;17,99;30,17;3,99;1,43;2,41;10,56;-4,23;1,72;14,83;3,43;9,38;0,23;0,77;0,90;;;;4,49;0,67;;16.047.243.905,00
VRT.WS;0,00;;;;;33,50;9,21;3,82;;30,17;3,99;1,43;;;;1,72;14,83;3,43;9,38;0,23;0,77;0,90;;;;4,49;0,67;;16.047.243.905,00
VRTS;192,50;3,56;10,27;1,64;0,38;100,00;45,86;20,20;3,65;9,16;4,63;1,68;2,08;;-0,38;;15,97;3,73;9,59;0,23;0,74;0,18;15,95;26,00;;117,36;18,74;;1.396.664.500,00
VRTU;51,32;;37,60;3,68;1,24;25,84;4,68;3,22;16,29;27,59;1,68;0,24;1,21;4,22;-2,50;2,40;9,78;3,30;6,63;0,34;0,58;1,02;;;;13,96;1,36;;1.555.484.053,20
VRTV;169,74;1,48;7,48;2,61;1,14;23,85;6,71;4,78;4,85;5,67;0,33;0,16;0,36;3,07;-3,57;2,20;34,84;15,22;30,58;0,44;0,56;3,18;-3,10;;;65,11;22,68;;2.302.913.502,00
VRTX;378,82;;29,01;6,31;4,80;87,92;45,81;35,40;21,65;19,93;-2,49;-0,70;10,27;9,28;-15,07;4,14;21,75;16,54;21,50;0,76;0,24;0,47;29,12;66,01;;60,04;13,06;;97.615.549.824,00
VS;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSAT;18,37;;2,21;0,38;0,13;28,94;-3,70;37,28;5,08;-72,72;-50,42;0,87;0,83;1,17;-0,16;2,33;17,33;5,75;-1,32;0,33;0,67;0,15;9,90;;;47,88;8,30;;2.278.886.676,00
VSCO;18,72;;7,38;5,18;0,32;35,48;5,59;3,18;2,26;7,51;3,31;4,10;0,23;20,37;-0,47;1,05;70,25;4,33;17,97;0,06;0,94;1,36;;;;3,61;2,54;;1.446.559.920,00
VSEC;58,85;0,68;28,75;1,98;0,86;10,27;7,64;3,70;10,11;19,52;5,58;0,79;1,06;2,00;-2,32;3,21;6,87;3,00;6,66;0,44;0,56;0,81;4,56;-6,42;;29,79;2,05;;926.728.605,00
VSH;21,41;1,87;6,94;1,45;0,77;30,28;17,52;12,26;;4,18;-0,68;-0,20;0,85;2,13;-1,71;2,92;20,96;11,09;17,66;0,53;0,47;0,90;6,11;;;14,72;3,08;;2.976.925.617,00
VSPR;12,49;;-287.269,99;23.939,17;1.311,74;;;;;-287.257,49;12,50;-1,04;;-1.476,97;-1.391,14;0,06;-8,33;-0,46;-8,33;0,05;0,95;0,00;;;;0,00;0,00;;574.539.975,02
VSPRU;14,00;;-321.999,99;26.833,33;1.470,32;;;;;-287.257,49;12,50;-1,04;;-1.655,53;-1.559,32;0,06;-8,33;-0,46;-8,33;0,05;0,95;0,00;;;;0,00;0,00;;574.539.975,02
VSPRW;3,40;;-78.200,00;6.516,67;357,08;;;;;-287.257,49;12,50;-1,04;;-402,06;-378,69;0,06;-8,33;-0,46;-8,33;0,05;0,95;0,00;;;;0,00;0,00;;574.539.975,02
VSSYW;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VST;34,37;2,33;8,50;2,36;0,41;32,26;15,71;8,94;2,76;8,64;3,80;1,85;0,76;9,83;-0,59;1,17;27,73;4,88;9,03;0,18;0,82;0,55;20,38;;;14,58;4,04;;12.633.387.774,00
VSTA;4,13;;-16,62;0,36;0,23;61,28;-0,21;-9,84;;-762,34;7,30;0,00;1,64;3,83;-0,28;1,49;-2,19;-1,36;-0,81;0,62;0,38;0,14;;;;11,35;-0,25;;341.717.026,00
VSTM;6,32;;-2,13;1,57;0,83;;;;-2,23;-0,24;1,99;-1,40;;0,94;-88,91;9,14;-73,72;-39,06;-50,33;0,53;0,36;0,00;;;;4,02;-2,97;;159.584.424,00
VSTO;24,53;;-18,35;1,21;0,51;32,46;0,98;-2,61;10,53;80,39;31,61;0,78;0,48;2,05;-0,90;2,33;-6,58;-2,76;-0,39;0,42;0,58;1,06;5,94;;;20,32;-1,34;;1.424.498.801,00
VTA;11,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VTAQ;5,08;;;;;;;;;-6,28;-6,28;;;;;0,25;-5,14;-1,57;8,96;-0,31;0,34;0,00;;;;;;;0,00
VTAQR;0,24;;;;;;;;;-6,28;-6,28;;;;;0,25;-5,14;-1,57;8,96;-0,31;0,34;0,00;;;;;;;0,00
VTAQU;5,73;;;;;;;;;-6,28;-6,28;;;;;0,25;-5,14;-1,57;8,96;-0,31;0,34;0,00;;;;;;;0,00
VTAQW;0,16;;;;;;;;;-6,28;-6,28;;;;;0,25;-5,14;-1,57;8,96;-0,31;0,34;0,00;;;;;;;0,00
VTEX;6,42;;-16,28;4,09;3,21;63,36;-51,36;-51,38;;-12,86;3,43;-0,86;8,36;4,91;-16,40;5,33;-25,12;-19,71;-28,48;0,78;0,22;0,38;;;;1,57;-0,39;;1.190.625.594,00
VTGN;2,69;;-0,52;3,68;1,68;100,00;-5.765,40;-5.766,23;-0,52;-0,34;0,18;-1,29;29,84;3,34;-7,29;2,86;-710,57;-323,76;-636,86;0,46;0,54;0,06;;;;0,73;-5,20;;25.184.856,00
VTN;9,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VTNR;3,88;;9,24;1,52;0,42;6,92;2,08;1,26;2,15;8,32;2,73;0,74;0,12;11,64;-0,75;1,09;16,42;4,58;6,39;0,28;0,72;3,64;-34,89;;;2,56;0,42;;361.968.304,00
VTOL;27,19;;47,60;1,00;0,44;21,75;5,62;1,35;4,96;15,97;4,51;0,39;0,64;3,34;-0,62;1,78;2,10;0,92;4,48;0,44;0,56;0,68;38,65;;;27,23;0,57;;768.008.740,00
VTRS;8,98;5,35;5,81;0,52;0,22;39,57;20,15;11,88;1,76;9,15;5,72;0,86;0,69;3,31;-0,28;1,50;8,90;3,81;6,20;0,43;0,57;0,32;6,43;24,46;;17,38;1,55;;10.771.801.850,00
VTRU;10,18;;22,95;1,00;0,30;61,10;12,12;9,71;;39,29;20,91;1,13;2,23;-3,46;-0,33;0,55;4,34;1,29;1,24;0,30;0,70;0,13;;;;10,22;0,44;;344.350.716,00
VTSI;4,89;;11,71;1,41;0,80;61,02;18,82;13,46;6,85;7,56;-0,81;-0,14;1,58;2,01;-2,40;2,51;12,03;6,86;9,90;0,57;0,43;0,51;11,36;-9,72;;3,47;0,42;;53.432.052,00
VTVT;0,35;;-1,49;-1,13;1,27;100,00;-272.522,22;-212.488,89;-1,17;-0,65;0,51;;3.168,81;6,13;-3,36;1,50;-75,64;-85,28;97,01;-1,13;1,29;0,00;47,30;;;-0,31;-0,23;;28.519.260,00
VUZI;1,92;;-3,08;1,17;1,10;17,03;-259,89;-259,89;-3,42;-1,85;1,23;-0,47;7,99;1,98;-2,88;10,01;-38,17;-35,75;-38,17;0,94;0,06;0,14;16,40;;;1,64;-0,62;;121.572.864,00
VVI;30,69;;28,57;38,94;0,56;6,85;7,02;1,85;4,71;12,42;4,88;25,15;0,53;53,03;-0,73;1,05;136,31;1,95;14,74;0,01;0,87;1,05;-2,91;-16,65;;0,79;1,07;;642.016.386,00
VVNT;12,00;;-49,80;-1,51;0,90;100,00;6,98;-3,07;3,46;38,79;16,84;;1,53;-5,23;-1,06;0,48;-3,04;-1,80;20,62;-0,59;1,59;0,58;;;;-7,93;-0,24;;2.576.323.200,00
VVOS;3,16;;-0,20;1,80;0,28;60,30;-121,39;-121,39;-0,21;0,01;0,21;-1,87;0,24;-1,22;-0,45;0,63;-890,50;-136,40;-890,50;0,15;0,85;1,12;;;;1,76;-15,66;;3.783.152,00
VVPR;1,80;;;;;;;;;;;0,95;;;;0,92;0,00;0,00;;0,32;0,68;0,00;-14,85;;;8,52;0,00;;4.641.840,00
VVR;4,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VVV;32,70;0,38;2,97;15,89;1,52;37,82;16,01;110,05;14,99;23,27;2,88;2,24;3,26;6,66;-2,39;2,68;535,56;51,20;10,98;0,10;0,90;0,47;-9,92;6,90;;2,06;11,02;;4.534.270.290,00
VXRT;0,71;;-1,07;1,27;0,88;100,00;-4.857,86;-4.910,80;-1,17;-0,40;0,68;-0,80;52,53;1,88;-2,10;5,13;-118,62;-82,28;-117,44;0,69;0,31;0,02;-55,06;;;0,56;-0,66;;107.947.548,00
VYGG;10,05;;21,25;-29,18;1,25;;;;21,25;21,35;0,10;;;3.298,37;-1,25;1,16;-137,34;5,88;-171,63;-0,04;0,05;0,00;;;;-0,34;0,47;;722.343.750,00
VYGG.U;10,04;;21,23;-29,16;1,25;;;;21,23;21,35;0,10;;;3.295,09;-1,25;1,16;-137,34;5,88;-171,63;-0,04;0,05;0,00;;;;-0,34;0,47;;722.343.750,00
VYGG.WS;0,00;;;;;;;;;21,35;0,10;;;;;1,16;-137,34;5,88;-171,63;-0,04;0,05;0,00;;;;-0,34;0,47;;722.343.750,00
VYGR;6,31;;2,77;1,39;0,88;100,00;51,30;50,92;2,62;0,05;-2,70;-1,37;1,41;1,17;-8,32;6,22;50,43;31,81;50,43;0,63;0,37;0,62;32,19;;;4,52;2,28;;277.610.974,00
VYNE;3,22;;-0,30;0,61;0,42;100,00;-8.022,85;-8.620,15;-0,32;0,31;0,63;-1,20;25,95;0,64;-5,28;3,60;-203,13;-140,57;-189,13;0,69;0,31;0,02;-36,39;;;5,27;-10,70;;10.561.600,00
VZ;35,85;7,32;7,21;1,54;0,39;58,64;24,34;15,58;3,02;9,00;4,39;1,46;1,12;-8,58;-0,43;0,68;21,38;5,43;10,77;0,25;0,74;0,35;1,66;-6,72;;23,25;4,97;;150.717.045.945,00
W;41,51;;-5,35;-1,81;1,46;30,16;-7,31;-7,63;;-7,78;-2,20;;0,41;-23,09;-3,11;0,89;-33,79;-27,23;-178,76;-0,81;1,81;3,57;20,95;;;-22,96;-7,76;;4.895.988.272,00
WAB;113,31;0,45;26,78;1,97;1,08;29,95;13,07;8,02;12,13;19,38;2,96;0,35;2,15;27,32;-1,43;1,19;7,34;4,03;6,83;0,55;0,45;0,50;16,59;19,27;;57,64;4,23;;20.300.528.952,00
WABC;47,80;3,60;8,23;1,95;0,19;0,00;67,37;49,36;5,73;-17,99;-24,02;-7,79;4,06;;-0,19;;23,75;2,35;19,61;0,10;0,90;0,05;6,48;19,52;;24,46;5,81;;1.273.803.080,00
WAFD;25,28;3,92;6,15;0,68;0,07;0,00;44,20;26,30;3,41;3,68;0,02;0,00;1,62;;-0,07;;11,11;1,18;6,00;0,11;0,89;0,04;4,04;6,37;;36,98;4,11;;1.636.548.832,00
WAFU;1,75;;3,45;0,64;0,43;63,78;37,85;31,79;2,76;-1,73;-4,63;-1,03;1,10;0,76;-4,28;2,71;18,64;12,44;18,58;0,67;0,33;0,39;12,37;-4,57;;2,72;0,51;;7.718.550,00
WAL;43,46;3,31;5,57;0,83;0,07;0,00;39,37;20,66;2,85;-1,07;-3,99;-1,13;1,15;;-0,07;;14,87;1,21;9,72;0,08;0,92;0,06;27,63;26,57;;52,49;7,81;;4.757.727.002,00
WALA;25,37;;3,25;0,48;0,04;0,00;39,37;20,66;1,66;-1,07;-3,99;-1,13;0,67;;-0,04;;14,87;1,21;9,72;0,08;0,92;0,06;27,63;26,57;;52,49;7,81;;4.757.727.002,00
WASH;24,55;9,12;7,07;0,91;0,06;0,00;35,14;18,78;3,57;2,36;-1,41;-0,34;1,33;;-0,06;;12,89;0,84;6,33;0,07;0,93;0,04;3,70;9,31;;26,96;3,47;;418.111.050,00
WAT;251,66;;21,02;29,48;4,53;58,00;29,49;23,81;;18,22;1,25;2,17;5,00;15,21;-9,80;2,24;140,29;21,57;35,90;0,15;0,85;0,91;5,18;103,44;;8,54;11,97;;14.873.835.814,00
WATT;1,82;;-0,37;0,47;0,36;-66,40;-3.693,67;-3.693,67;-0,37;0,51;0,88;-1,12;13,60;0,50;-4,22;4,56;-127,12;-96,65;-127,12;0,76;0,24;0,03;-5,91;;;3,89;-4,94;;8.378.370,00
WB;11,10;7,66;10,11;0,75;0,36;80,00;27,44;11,96;;1,91;-2,49;-0,43;1,21;1,04;-0,97;2,25;7,46;3,59;9,72;0,48;0,52;0,30;9,81;-24,67;;14,72;1,10;;2.611.505.880,00
WBA;20,10;11,94;-5,64;0,87;0,18;19,46;-3,48;-2,21;-6,73;-5,31;-1,72;0,42;0,12;-1,92;-0,21;0,63;-15,38;-3,19;-23,14;0,21;0,79;1,44;1,12;;;23,17;-3,57;;17.364.683.460,00
WBAI;14,20;;-21,56;23,56;20,49;-28,28;-2.620,00;-2.872,13;;-22,87;0,76;-0,76;619,10;34,94;-70,52;5,77;-109,29;-95,07;-102,06;0,87;0,13;0,03;-26,32;;;0,60;-0,66;;1.510.614.460,00
WBD;9,88;;-3,58;0,53;0,19;38,17;-13,97;-16,04;1,24;-11,68;-7,56;0,97;0,57;-7,69;-0,21;0,81;-14,78;-5,22;-7,89;0,35;0,64;0,33;37,53;;;18,65;-2,76;;24.081.357.872,00
WBK;14,20;;;;;;;;;;;0,91;;;;1,16;0,00;0,00;;0,08;0,92;0,00;-7,04;-6,36;;14,80;0,00;;52.044.824.700,00
WBS;39,75;4,03;7,45;0,83;0,09;0,00;41,93;26,22;4,30;-3,46;-8,12;-1,44;1,95;;-0,09;;11,09;1,24;9,41;0,11;0,89;0,05;18,37;21,15;;48,12;5,34;;6.839.226.000,00
WBT;24,01;;52,65;9,31;1,47;35,28;9,95;4,18;15,49;30,80;8,69;3,66;2,20;4,13;-3,05;3,19;17,69;2,79;7,01;0,16;0,84;0,67;1,22;-0,34;;2,58;0,46;;3.437.756.602,00
WCC;140,19;0,80;9,05;1,49;0,47;21,88;6,64;3,55;4,29;8,23;3,39;1,04;0,32;1,43;-1,09;2,40;16,47;5,22;11,66;0,32;0,68;1,47;22,77;39,40;;94,09;15,49;;7.160.344.440,00
WCN;130,73;1,00;40,56;4,44;1,90;40,34;17,10;10,57;14,26;30,09;5,02;0,89;4,29;-79,44;-2,03;0,73;10,95;4,68;7,63;0,43;0,57;0,44;9,27;7,70;;29,44;3,22;;33.681.708.609,00
WD;72,64;3,43;16,98;1,43;0,50;0,00;20,33;12,85;5,30;8,97;-1,77;-0,23;2,18;;-0,50;;8,40;2,97;11,25;0,35;0,65;0,23;12,08;0,25;;50,93;4,28;;2.422.159.008,00
WDAY;227,53;;-490,15;9,50;4,34;73,87;-0,17;-1,81;116,16;-4.925,47;323,99;-0,59;8,88;14,19;-11,14;2,00;-1,94;-0,89;-1,31;0,46;0,54;0,49;23,74;;;23,95;-0,46;;59.612.860.000,00
WDC;44,79;;-8,51;1,34;0,59;15,32;-10,13;-13,85;-35,67;-15,68;-4,04;0,47;1,18;5,92;-0,88;1,45;-15,73;-6,98;-7,78;0,44;0,52;0,50;-9,81;;;33,46;-5,26;;14.518.472.466,00
WDFC;218,36;1,52;49,51;15,01;6,57;49,32;15,58;11,74;33,87;38,81;1,49;0,60;5,81;20,16;-15,84;2,26;30,31;13,28;18,12;0,44;0,56;1,13;5,63;0,24;;14,55;4,41;;2.960.241.012,00
